EMPLOYER_NAME,SOC_NAME,TOTAL_WORKERS,FULL_TIME_POSITION,PREVAILING_WAGE,WAGE_RATE_OF_PAY_FROM,CASE_STATUS,diff_wage_prevailing
JARVIS MANUFACTURING INC,SCIENTIST,1,1,66518,65000,DENIED,1518
MODERN DENTAL PROFESSIONALS SAN ANTONIO PC,SCIENTIST,1,0,77896,77896,DENIED,0
NZXT INC,SCIENTIST,1,1,37140,37140,DENIED,0
SLAVIC CHRISTIAN ACADEMY,SCIENTIST,1,1,29120,29120,DENIED,0
SOFTOVAINC,SCIENTIST,1,1,50918,60000,DENIED,9082
SOFTOVAINC,SCIENTIST,1,1,50918,60000,DENIED,9082
SRIVEN SYSTEMS OF TX INC,SCIENTIST,2,1,58219,60000,DENIED,1781
STAR CONSUTLANTS INC,SCIENTIST,1,1,58926,59000,DENIED,74
TETRA PAK PROCESSING EQUIPMENT INC,SCIENTIST,1,1,108200,108200,DENIED,0
WILLIAMSBURG PHYSICAL THERAPY PC,SCIENTIST,1,1,56722,56722,DENIED,0
XINTHE TECHNOLOGIES PVT LT,SCIENTIST,3,1,84053,89000,DENIED,4947
AMFAL TECH LLC,SCIENTIST,8,1,47570,47570,DENIED,0
BAKING UNITED INC,SCIENTIST,3,1,23129.6,23920,DENIED,790.4
FEROLIE CORPORATION,SCIENTIST,1,1,40100,45000,DENIED,4900
INTERFACESYSTEMS INC,SCIENTIST,1,1,49982,60000,DENIED,10018
ONLY IT CONSULTING LLC,SCIENTIST,1,1,62338,63000,DENIED,662
SPEARMC MANAGEMENT CONSULTING INC,SCIENTIST,1,1,65582,75000,DENIED,9418
VISVA INC,SCIENTIST,1,1,102149,120000,DENIED,17851
LOOP INTEGRATION LLC,SURVEYORS,2,1,105575,80000,DENIED,25575
CLUBCORP GCL CORPORATION,FINANCE,1,1,38126,38126,DENIED,0
ACT INC,ACCOUNTANTS,1,1,93400,93400,DENIED,0
1SHIWUYOU LLC,ANALYSTS,1,1,50000,45000,DENIED,5000
ADAMS JEWELRY NETWORK PA INC,ANALYSTS,1,1,34507.2,34507.2,DENIED,0
ADVANCED MEDICAL SERVICES PLLC,ANALYSTS,1,1,53997,52997,DENIED,1000
AGAMA SOLUTIONS INC,ANALYSTS,1,1,63336,55723.2,DENIED,7612.8
AUTO BOUTIQUE,ANALYSTS,1,1,39520,39520,DENIED,0
BATESVILLE COMMUNITY SCHOOL CORPORATION,ANALYSTS,1,1,40141,42200,DENIED,2059
BLACK DIAMOND INVESTMENT GROUP LLC,ANALYSTS,5,1,75000,75000,DENIED,0
BLOOMEX LLC,ANALYSTS,1,1,86112,70720,DENIED,15392
BLOOMEX LLC,ANALYSTS,1,1,113859.2,83200,DENIED,30659.2
BLUE PACIFIC LLC,ANALYSTS,1,1,80000,80000,DENIED,0
CERTIFIED AVIATION SERVICES,ANALYSTS,1,1,65208,66560,DENIED,1352
CHH LAW PROFESSIONAL CORPORATION,ANALYSTS,1,1,33820.8,37440,DENIED,3619.2
CONNXUS INC,ANALYSTS,1,1,30000,65000,DENIED,35000
COSET TECHNOLOGIES LLC,ANALYSTS,1,1,69472,69472,DENIED,0
DATAPRISE INC,ANALYSTS,1,1,46530,80000,DENIED,33470
DELOITTE CONSULTING LLP,ANALYSTS,15,1,94619,80000,DENIED,14619
DEZINS INTERACTIVE,ANALYSTS,1,1,28870,28870,DENIED,0
DREAMBIG ACADEMY,ANALYSTS,2,0,62400,72800,DENIED,10400
FLORALISTIC LLC,ANALYSTS,1,1,113859.2,93600,DENIED,20259.2
GEN5RE LLC,ANALYSTS,20,1,55390,55000,DENIED,390
INFO KEYS INC,ANALYSTS,1,1,67891,65000,DENIED,2891
INTERNATIONAL TECHNOLOGICAL UNIVERSITY FOUNDATION,ANALYSTS,1,1,50960,55000,DENIED,4040
LEXISNEXIS USA,ANALYSTS,1,1,89294,88920,DENIED,374
LIRAF LLC,ANALYSTS,1,1,37149,37149,DENIED,0
LOUIS R KOERNER JR,ANALYSTS,2,1,46821,48000,DENIED,1179
MANAGEMENT HEALTH SYSTEMS LLC,ANALYSTS,1,1,44803.2,44803.2,DENIED,0
NATIONAL FINANCIAL LLC,ANALYSTS,1,1,48000,43035,DENIED,4965
NETSCOUT SYSTEMS INC,ANALYSTS,1,1,66518,66518,DENIED,0
OSP REALTY LLC,ANALYSTS,1,1,47486.4,47486.4,DENIED,0
PLG ENTERPRISES LLC,ANALYSTS,1,1,33218,40000,DENIED,6782
PRODIGY TECHNOLOGIES INC,ANALYSTS,1,1,62754,65000,DENIED,2246
RM TECHNOTREE INC,ANALYSTS,1,1,83678,60446,DENIED,23232
RM TECHNOTREE INC,ANALYSTS,1,1,83678,60446,DENIED,23232
RUKARD GROUP INC,ANALYSTS,1,0,61734.4,30867,DENIED,30867.4
SANTA FE PUBLIC SCHOOL DISTRICT,ANALYSTS,1,1,34000,34000,DENIED,0
SIRRUS SOFTWARE SERVICES INC,ANALYSTS,1,1,70000,70000,DENIED,0
SOLARCITY CORPORATION,ANALYSTS,1,1,109239,110000,DENIED,761
SOMYOUNG USA LLC,ANALYSTS,1,1,62600,63000,DENIED,400
SOUTH COL ENGINEERING PC,ANALYSTS,1,1,64771,65000,DENIED,229
STAIDLOGIC LLC,ANALYSTS,2,1,78853,79000,DENIED,147
STRATEGIC INVESTMENT PLANNING INC,ANALYSTS,1,1,47507,47507,DENIED,0
TARANA WIRELESS INC,ANALYSTS,1,1,94619,95000,DENIED,381
TESLA INC,ANALYSTS,1,1,109239,110000,DENIED,761
THE GRADY SCHOOL,ANALYSTS,1,1,33280,33280,DENIED,0
THE IWAY GROUP INC,ANALYSTS,1,1,51771.2,51771.2,DENIED,0
TRIDENT CONSULTING,ANALYSTS,1,1,40082,95000,DENIED,54918
TRINITAS REGIONAL MEDICAL CENTER,ANALYSTS,1,1,51644,53710,DENIED,2066
UNILIFE LLC,ANALYSTS,1,1,124696,126000,DENIED,1304
US TAMEX CORP,ANALYSTS,1,0,37190.4,37148.8,DENIED,41.6
VM INNOVATIONS INC,ANALYSTS,1,1,60466,75000,DENIED,14534
VOLEON CAPITAL MANAGEMENT LP,ANALYSTS,1,1,86486,85000,DENIED,1486
WORLDPAY US INC,ANALYSTS,1,1,71084,70096,DENIED,988
ACCENTURE LLP,ANALYSTS,1,1,73258,73258,DENIED,0
ACCENTURE LLP,ANALYSTS,1,1,80995,82250,DENIED,1255
ALCON RESEARCH LTD,ANALYSTS,1,1,47091,50000,DENIED,2909
ALPHA CLINICAL SYSTEMS INC,ANALYSTS,1,1,74090,75000,DENIED,910
BELOIT INTERNATIONAL FILM FESTIVAL INC,ANALYSTS,1,1,16640,15080,DENIED,1560
BRAIN BIOSCIENCES INC,ANALYSTS,1,1,90688,100000,DENIED,9312
COMSYS TECHNOLOGIES INC,COMPUTER OCCUPATION,1,1,62733,72000,DENIED,9267
DAMIAN CONSULTING INC,COMPUTER OCCUPATION,3,1,68827,68827,DENIED,0
DATA WAREHOUSE LABS INC,COMPUTER OCCUPATION,1,1,51002,60000,DENIED,8998
ENTECH ENGINEERING PC,COMPUTER OCCUPATION,1,1,62717,62171,DENIED,546
GLOBAL EAGLE ENTERTAINMENT INC,COMPUTER OCCUPATION,1,1,63690,65000,DENIED,1310
GO BARN INC,COMPUTER OCCUPATION,1,1,62000,62000,DENIED,0
HONG KONG SUPERMARKET OF MONTEREY PARK LTD,COMPUTER OCCUPATION,1,1,54974,56000,DENIED,1026
HORIZON INFORMATION TECHNOLOGY SOLUTIONS INC,COMPUTER OCCUPATION,1,1,52062.4,52062.4,DENIED,0
INTEGRATED ENERGY COMPANIES LLC,COMPUTER OCCUPATION,1,1,47237,47000,DENIED,237
KECK GRADUATE INSTITUTE,COMPUTER OCCUPATION,1,1,58040,115000,DENIED,56960
NEW ELLERBE PHARMACY INC,COMPUTER OCCUPATION,1,1,107827,107823,DENIED,4
ORA GROUP INTERNATIONAL,COMPUTER OCCUPATION,40,1,46800,46800,DENIED,0
SJ CONSULTING GROUP INC,COMPUTER OCCUPATION,2,1,41756,41756,DENIED,0
THE CITY OF NEW YORK,COMPUTER OCCUPATION,3,1,57616,57595.2,DENIED,20.8
TRIV TECH LLC,COMPUTER OCCUPATION,1,1,64834,65000,DENIED,166
TVARANA SOFTWARE SOLUTIONS LLC,COMPUTER OCCUPATION,2,1,68827,68900,DENIED,73
UPLAY TABLET LLC,COMPUTER OCCUPATION,1,1,65062,65062,DENIED,0
VIRTUSA CORPORATION,COMPUTER OCCUPATION,8,1,67829,90000,DENIED,22171
WORLD ART CENTER LTD,COMPUTER OCCUPATION,1,1,35430,35500,DENIED,70
BBDOTQ USA INC,DOCTORS,1,0,55764.8,55764.8,DENIED,0
EDISQUARE INC,EDUCATION,1,1,73091,74000,DENIED,909
WIZARDTECHSOLUTIONS INC,DOCTORS,1,1,67974,60000,DENIED,7974
ALZHEIMERS CONSULTING and SERVICES,INTERNIST,1,1,40000,40000,DENIED,0
BYLA PLUMBING LLC,IT MANAGERS,1,1,63960,64480,DENIED,520
DOYLE REAL ESTATE ADVISERS LLC,MANAGERS,1,0,40414.4,40414.4,DENIED,0
E CENTER INC,MANAGERS,2,1,65000,65000,DENIED,0
ALZHEIMERS CONSULTING and SERVICES,PUBLIC RELATIONS,1,1,40000,40000,DENIED,0
AMERICAN CHINESE BUSINESS and CULTURE EXCHANGE SERVICES INC,PUBLIC RELATIONS,1,1,40248,40248,DENIED,0
CAV INTERNATIONAL CORPORATION,PUBLIC RELATIONS,1,1,89356.8,89356.8,DENIED,0
DIGISIGNALS INC,PUBLIC RELATIONS,1,1,65666,60000,DENIED,5666
GLOBAL AIR INITIATIVE INC,PUBLIC RELATIONS,1,1,18658,50000,DENIED,31342
LIQUIDSKY SOFTWARE INC,REAL ESTATE,1,1,71053,75000,DENIED,3947
MIDWEST ENGINEERED SYSTEMS INC,REAL ESTATE,1,1,83762,100000,DENIED,16238
MODA INVESTMENT LTD,REAL ESTATE,1,1,40331,42000,DENIED,1669
SEMPER SOLARIS CONSTRUCTION INC,RELIGIOUS WORKERS,1,1,54891,55000,DENIED,109
ACADIANA PEDIATRIC GASTROENTEROLOGY AND HEPATOLOGY ASSOCIATES LLC,REPORTERS AND CORRESPONDENTS,1,1,60000,70000,DENIED,10000
AMERICAN PET HOSPITAL,COUNSELORS,1,1,100277,100277,DENIED,0
CALIFORNIA VETERINARY HOSPITAL INC,SALES AND RELATED WORKERS,1,1,98634,98634,DENIED,0
COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,SALES AND RELATED WORKERS,10,1,71386,71386,DENIED,0
COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,SALES AND RELATED WORKERS,10,1,77646,77646,DENIED,0
FAIRLY ODD TREASURES,SCIENTIST,1,1,94786,100000,DENIED,5214
LEVELWORKS INC,SCIENTIST,1,1,88067,92000,DENIED,3933
LUCERO RESEARCH AND DEVELOPMENT,SCIENTIST,1,1,60000,60000,DENIED,0
NK TECHNOLABS LLC,SCIENTIST,1,1,58364.8,83200,DENIED,24835.2
RICO AUTO BODY and REPAIR LLC,SCIENTIST,1,1,20800,20800,DENIED,0
STRATEGY MATTERS LLC,SCIENTIST,1,1,38542,35000,DENIED,3542
VODIA NETWORKS INC,SCIENTIST,1,1,68390,68390,DENIED,0
WUU JAU CO INC,SCIENTIST,1,1,39936,40000,DENIED,64
XENONINFOTEK INC,SCIENTIST,1,1,64813,63000,DENIED,1813
ADARA NETWORKS INC,SCIENTIST,1,1,124093,120000,DENIED,4093
AMBLESIDE SCHOOL OF OCALA,SCIENTIST,1,1,37898,37898,DENIED,0
BRAZJET EXPRESS INC,SCIENTIST,1,1,51000,52000,DENIED,1000
BUSINESS ASSOCIATION OF OVERSEAS VIETNAMESE US BRANCH,SCIENTIST,1,1,69555.2,66560,DENIED,2995.2
CENTRAL VALLEY VETERINARIANS INC,SCIENTIST,1,1,84011,84011,DENIED,0
CENTRAL VALLEY VETERINARY ASSOCIATES INC,SCIENTIST,1,1,101358,101358,DENIED,0
CYIENT INC,SCIENTIST,25,1,68577,68557,DENIED,20
LIONSGATE ACADEMY,SCIENTIST,1,1,37080,37080,DENIED,0
MORRIS GROUP INC,SCIENTIST,1,1,55400,55401,DENIED,1
NEXEN TIRE AMERICA INC,SCIENTIST,1,1,31200,31200,DENIED,0
RESERVOIRS ENVIRONMENTAL INC,SCIENTIST,1,1,45330,45330,DENIED,0
SLAVIC CHRISTIAN ACADEMY,SCIENTIST,1,1,29120,29120,DENIED,0
ATENAR COMMUNITY SERVICES LLC,ANALYSTS,3,1,29120,24960,DENIED,4160
ACCENTURE LLP,ANALYSTS,1,1,69826,71000,DENIED,1174
ADVENT RESOURCES INC,ANALYSTS,1,1,62379,60000,DENIED,2379
B+M SURFACE SYSTEMS,ANALYSTS,1,1,35360,41000,DENIED,5640
BOOST BY DESIGN LLC,ANALYSTS,1,1,33259.2,37440,DENIED,4180.8
CENTRAL MERCHANT INC,ANALYSTS,3,0,72800,58240,DENIED,14560
CROCKETT TECHNICAL LLC,ANALYSTS,10,1,67891.2,68640,DENIED,748.8
CROCKETT TECHNICAL LLC,ANALYSTS,10,1,78956.8,79040,DENIED,83.2
EandA ENGINEERS,ANALYSTS,1,1,67849.6,67849.6,DENIED,0
FABIT CORP,ANALYSTS,1,1,66373,67000,DENIED,627
FREEMAN COMPANIES LLC,ANALYSTS,1,1,33966.4,41038.4,DENIED,7072
GEORGE MASON UNIVERSITY,ANALYSTS,1,1,61069,60500,DENIED,569
IBM GLOBAL SYSTEMS INC,ANALYSTS,2,1,62574,60000,DENIED,2574
LEAF LOGIX TECHNOLOGIES,ANALYSTS,1,1,47154,48000,DENIED,846
MEDINNOVA USA INC,ANALYSTS,3,0,64480,58240,DENIED,6240
MONEYMATCH INC,ANALYSTS,1,1,75941,64480,DENIED,11461
MY BENEFITS LLC,ANALYSTS,1,1,29474,33500,DENIED,4026
NORTH EAST REALTY,ANALYSTS,1,1,72467,80000,DENIED,7533
NOTKIN HAWAII INC,ANALYSTS,1,1,52853,55000,DENIED,2147
OMNITECH SOLUTIONS INC,ANALYSTS,1,1,102149,102200,DENIED,51
PREMIUM VINTNERS LLC,ANALYSTS,1,1,73736,100000,DENIED,26264
SKY EDGE GROUP LLC,ANALYSTS,1,1,41038,41038,DENIED,0
SYNOPSYS INC,ANALYSTS,5,1,118560,118560,DENIED,0
TALENTSPACE INC,ANALYSTS,1,1,56451,57000,DENIED,549
TALENTSPACE INC,ANALYSTS,1,1,71115,71300,DENIED,185
WARNER BROS ANIMATION INC,ANALYSTS,1,1,95347.2,95347.2,DENIED,0
WATERONE,ANALYSTS,1,1,79000,79000,DENIED,0
XILINX INC,ANALYSTS,1,1,109209,113250,DENIED,4041
CHARTER GLOBAL INC,ANALYSTS,3,1,58510,60000,DENIED,1490
EDISQUARE INC,ANALYSTS,1,1,73091,74000,DENIED,909
NYC SMALL BUSINESS SOLUTIONS INC,ANALYSTS,1,1,146058,145101,DENIED,957
SKILLSIGHT INC,ANALYSTS,1,1,72779,74000,DENIED,1221
WIZARDTECHSOLUTIONS INC,ANALYSTS,1,1,67974,60000,DENIED,7974
FAIRLY ODD TREASURES,ANALYSTS,1,1,94786,100000,DENIED,5214
INFOVILLE INC,ANALYSTS,1,1,55910,56000,DENIED,90
5SUNS INC,ANALYSTS,2,0,54080,62400,DENIED,8320
ACOMB OSTENDORF and ASSOCIATES LLC,ANALYSTS,1,1,57470.4,57470.4,DENIED,0
ACOMB OSTENDORF and ASSOCIATES LLC,ANALYSTS,1,1,57470.4,57470.4,DENIED,0
ALZHEIMERS CONSULTING and SERVICES,ANALYSTS,1,1,71282,70000,DENIED,1282
ALZHEIMERS CONSULTING and SERVICES,ANALYSTS,1,1,73944,75000,DENIED,1056
APTCLARITY LLC,ANALYSTS,1,1,43722,43722,DENIED,0
AVANT SYSTEMS INC,ANALYSTS,1,1,85197,85500,DENIED,303
CARTERET COUNTY SCHOOLS,ANALYSTS,1,1,35000,19640,DENIED,15360
CHIROPRACTIC FIRST,ANALYSTS,1,1,58011,88331,DENIED,30320
CMF HOLDINGS LLC,ANALYSTS,1,1,109616,109616,DENIED,0
SPEECH GOALS SPEECH THERAPY INC,COMPUTER OCCUPATION,1,1,33000,52000,DENIED,19000
DAE MYUNG CHURCH OF GOD,COMPUTER OCCUPATION,1,0,32760,32760,DENIED,0
DREAMBIG ACADEMY,COMPUTER OCCUPATION,2,0,54080,62400,DENIED,8320
EMBTEL INC,COMPUTER OCCUPATION,5,1,65582,65582,DENIED,0
EMBTEL INC,COMPUTER OCCUPATION,5,1,65582,65582,DENIED,0
EVERGREEN TECHNOLOGY INC,COMPUTER OCCUPATION,1,1,77085,77085,DENIED,0
EXTERNETWORKS INC,COMPUTER OCCUPATION,5,1,73382,73382,DENIED,0
FOREFRONT WEALTH MANAGEMENT LLC,COMPUTER OCCUPATION,1,1,65749,67200,DENIED,1451
GB CONSTRUCTION INC,COMPUTER OCCUPATION,1,0,78000,67849.6,DENIED,10150.4
GENNEXT MEDIA INC,COMPUTER OCCUPATION,1,1,54900,55000,DENIED,100
GLOBAL EDGE SOFTWARE INC,COMPUTER OCCUPATION,3,1,93933,93500,DENIED,433
GREENBERRY COMPANY,COMPUTER OCCUPATION,1,1,62150.4,62400,DENIED,249.6
HARMONIC INC,COMPUTER OCCUPATION,1,1,103915,110000,DENIED,6085
HERMES CONSULTING LLC,COMPUTER OCCUPATION,2,1,83512,100000,DENIED,16488
HUMPHRIES AND COMPANY,COMPUTER OCCUPATION,1,1,62400,70000,DENIED,7600
INCOMING STUDIOS LLC,COMPUTER OCCUPATION,1,1,62795,62795,DENIED,0
JAMES R CHILDERS ARCHITECT INC,COMPUTER OCCUPATION,1,1,39312,37876.8,DENIED,1435.2
JUST GREENS LLC,COMPUTER OCCUPATION,1,1,44096,55000,DENIED,10904
KBTS TECHNOLOGIES INC,COMPUTER OCCUPATION,1,1,54704,54704,DENIED,0
LIQUIDSKY SOFTWARE INC,COMPUTER OCCUPATION,1,1,70221,72000,DENIED,1779
MAIN STREET SCHOOLS LLC,COMPUTER OCCUPATION,1,0,15080,16640,DENIED,1560
MARKLEY BOSTON LLC,COMPUTER OCCUPATION,1,1,62837,70000,DENIED,7163
MICROLOGIC ASSOCIATES LLC,COMPUTER OCCUPATION,1,1,65083.2,65083.2,DENIED,0
PLAYMONSTER LLC,COMPUTER OCCUPATION,1,1,87256,84593.6,DENIED,2662.4
POPO LLC,COMPUTER OCCUPATION,1,1,51000,70000,DENIED,19000
PRACTICAL KINESIOLOGY COMPANY,COMPUTER OCCUPATION,1,1,47361.6,57200,DENIED,9838.4
TASCH LLC,ENGINEERS,1,1,67704,78000,DENIED,10296
TETRA PAK PROCESSING EQUIPMENT INC,SOCIAL WORKERS,1,1,83686,83686,DENIED,0
THERMASTEEL INC,HUMAN RESOURCES,1,1,49067,50000,DENIED,933
VERITAS TECHNOLOGIES LLC,MARKETING,1,1,115000,111621.89,DENIED,3378.11
AMERICAN PET CLINIC,SCIENTIST,1,1,100277,100277,DENIED,0
AXIOS INTERNATIONAL INC,SCIENTIST,1,1,80766,80766,DENIED,0
DELOITTE CONSULTING LLP,SCIENTIST,15,1,66331,63311,DENIED,3020
ECLIPSE AUTOMATION HOLDINGS USA,SCIENTIST,1,1,63669,90000,DENIED,26331
ENTERPRISE SERVICES LLC,SCIENTIST,10,1,104911,104911,DENIED,0
GRAND LASER WORKS INC,SCIENTIST,1,1,52124.8,54080,DENIED,1955.2
KILEWS WEST USA INC,SCIENTIST,1,1,59114,60000,DENIED,886
LIQUIDSKY SOFTWARE INC,SCIENTIST,1,1,71053,75000,DENIED,3947
MYHOMESERVICE INC,SCIENTIST,1,0,47278.4,47278.4,DENIED,0
SHERPA STONE LLC,SCIENTIST,1,1,33280,33280,DENIED,0
AMERICAN FARMER GRAIN TRADING INC,SCIENTIST,1,1,79123,123552,DENIED,44429
CORNWELL ENGINEERING,SCIENTIST,1,1,50336,52508,DENIED,2172
E3 CIVIC HIGH,SCIENTIST,2,1,46000,38000,DENIED,8000
EASTBAY VETERINARY ASSOCIATES INC,SCIENTIST,1,1,101889,101889,DENIED,0
INTEGRETAS INC,SCIENTIST,1,1,43805,43805,DENIED,0
SMART IT FRAME LLC,SCIENTIST,1,1,45760,60000,DENIED,14240
INSIDESALESCOM INC,SCIENTIST,1,1,136573,110000,DENIED,26573
INFORMATICA LLC,SCIENTIST,5,1,103270,88234,DENIED,15036
VANTAGE SOLUTIONS LLC,WRITERS EDITORS AND AUTHORS,1,1,71843,80000,DENIED,8157
ARIZONA FOOT and ANKLE SPECIALISTS LLC,ANALYSTS,1,1,47050,47050,DENIED,0
OAK HILL ACADEMY,ANALYSTS,1,1,17860,17000,DENIED,860
PREDICTIVE AI INC,ANALYSTS,2,1,68827,65000,DENIED,3827
ANIMAL MEDICAL CENTER,ANALYSTS,1,1,96866,96866,DENIED,0
DATABLOOM LLC,BUSINESS OPERATIONS SPECIALIST,1,1,68773,68723,DENIED,50
ENERCON TECHNOLOGIES,COMPUTER OCCUPATION,1,1,61526,73000,DENIED,11474
FIRST COAST HEARING CLINIC INC,COMPUTER OCCUPATION,1,1,73029,62500,DENIED,10529
FREMONT VETERINARY CLINIC,COMPUTER OCCUPATION,1,1,100277,100277,DENIED,0
FREMONT VETERINARY CLINIC,COMPUTER OCCUPATION,1,1,90126,90126,DENIED,0
GOOGLE INC,COMPUTER OCCUPATION,1,1,94619,130000,DENIED,35381
HEALTHPLEX ASSOCIATES INC,COMPUTER OCCUPATION,1,1,21216,23670.4,DENIED,2454.4
LC CONSTRUCTION and PLUMBING CORP,COMPUTER OCCUPATION,1,1,61734.4,61734.4,DENIED,0
MAS MANAGEMENT GROUP INC,COMPUTER OCCUPATION,1,1,48110,50000,DENIED,1890
PATHOVER INC,COMPUTER OCCUPATION,1,1,73923,90000,DENIED,16077
PERFECT SQUARES INC,COMPUTER OCCUPATION,1,1,101192,102500,DENIED,1308
PERUVIAN BROTHERS,COMPUTER OCCUPATION,1,1,31200,31200,DENIED,0
R T HAYASHI DDS INC,COMPUTER OCCUPATION,1,1,119993,100000,DENIED,19993
RAPID CREDIT REPORTS INC,COMPUTER OCCUPATION,1,1,60000,60000,DENIED,0
RAV and ASSOCIATES INC,COMPUTER OCCUPATION,1,1,58926,58926,DENIED,0
S R CHANDRA INC,CONSTRUCTION,1,1,58673,62400,DENIED,3727
SFORCE INFOTECH INC,ECONOMISTS,1,1,68827,72000,DENIED,3173
SKSS VETERINARY CORPORATION APC,EDUCATION,1,1,86091,86091,DENIED,0
SOUTHERN TELECOM INC,ENGINEERS,1,0,43721.6,47985.6,DENIED,4264
THE GOMBOS COMPANY LLC,GRAPHIC DESIGNERS,1,1,57824,57824,DENIED,0
THREADING STYLE OF NEW YORK INC,HUMAN RESOURCES,1,1,61734,55000,DENIED,6734
US BORAX INC,IT MANAGERS,1,1,65374,76600,DENIED,11226
V TEK SOLUTIONS INC,LAWYERS AND LEGAL SUPPORT WORKERS,1,1,55390,56000,DENIED,610
VISH CONSULTING SERVICES INC,MANAGERS,1,1,61068.8,61068.8,DENIED,0
1A DISTRIBUTION INC,PUBLIC RELATIONS,1,1,31200,31200,DENIED,0
AMDOCS INC,PUBLIC RELATIONS,1,1,76814,81208.08,DENIED,4394.08
APPROACH INTERNATIONAL STUDENT CENTER INC,PUBLIC RELATIONS,1,1,53498,54000,DENIED,502
ASF PHARMACY INC,PUBLIC RELATIONS,1,1,37000,35000,DENIED,2000
ATENAR COMMUNITY SERVICES LLC,PUBLIC RELATIONS,2,1,29120,24960,DENIED,4160
ATENAR COMMUNITY SERVICES LLC,PUBLIC RELATIONS,1,1,83200,76960,DENIED,6240
AUDITRAX LLC,PUBLIC RELATIONS,1,1,63564.8,57200,DENIED,6364.8
BRPH COMPANIES INC,PUBLIC RELATIONS,1,1,64200,64200,DENIED,0
CARA FOODS LLC,PUBLIC RELATIONS,1,1,108493,120000,DENIED,11507
FUTRAN SOLUTIONS INC,REAL ESTATE,1,1,53165,53165,DENIED,0
I28 TECHNOLOGIES CORPORATION,REAL ESTATE,1,1,68827,69000,DENIED,173
INTRUDER ALERT SYSTEMS OF SAN ANTONIO INC,REAL ESTATE,1,1,38126.4,31200,DENIED,6926.4
MAISON MARQUES and DOMAINES USA INC,REAL ESTATE,1,1,47590,57500,DENIED,9910
MARXENT LABS LLC,MECHANICS,1,1,39140,39140,DENIED,0
PURDUE UNIVERSITY,COUNSELORS,1,1,30264,30264,DENIED,0
RAY CPA PC,ENGINEERS,1,1,60257.6,60257.6,DENIED,0
RISKALYZE INC,SALES AND RELATED WORKERS,1,1,65749,70000,DENIED,4251
ROSE INTERNATIONAL INC,SALES AND RELATED WORKERS,1,1,64168,67412.8,DENIED,3244.8
SAN DIEGO YOUTH SERVICE INC,SALES AND RELATED WORKERS,1,1,39874,44335,DENIED,4461
SKYCORE LLC,SALES AND RELATED WORKERS,1,1,66664,68640,DENIED,1976
SPECIAL SERVICE FOR GROUPS INC,SCIENTIST,1,1,46800,31720,DENIED,15080
TOMAR CONSTRUCTION LLC,SCIENTIST,1,1,46446,50253,DENIED,3807
TURING SYSTEMS INC,SCIENTIST,1,1,55910,60000,DENIED,4090
3PL LOGISTICS INC,SCIENTIST,1,1,54974.4,58240,DENIED,3265.6
ACADIANA PEDIATRIC GASTROENTEROLOGY AND HEPATOLOGY ASSOCIATES LLC,SCIENTIST,1,1,60000,65000,DENIED,5000
CODE 4 MEDIA GROUP INC,SCIENTIST,1,1,65000,65000,DENIED,0
DELOITTE CONSULTING LLP,SCIENTIST,15,1,109138,98000,DENIED,11138
ELAINE M WELLS DEMENTIA RESEARCH FOUNDATION INC,SCIENTIST,1,1,117707.2,117707.2,DENIED,0
FORD MOTOR COMPANY,SCIENTIST,1,1,94058,81203,DENIED,12855
SOUTHERN COATINGS INC,SCIENTIST,1,1,40643.2,45000,DENIED,4356.8
UST GLOBAL INC,SCIENTIST,1,1,52998,54000,DENIED,1002
LIONSGATE ACADEMY,SCIENTIST,1,1,37080,37080,DENIED,0
CLARITAS LLC,ACCOUNTANTS,2,1,82971,83000,DENIED,29
NEUGART USA CORP,ANALYSTS,1,1,53394,55000,DENIED,1606
PROSOFT IT SERVICES INC,ANALYSTS,1,1,66518,65000,DENIED,1518
RAINMAKER LLC,ANALYSTS,1,1,60715,60714,DENIED,1
VADLO SYSTEMS LLC,ANALYSTS,1,1,67434,70000,DENIED,2566
AMERICAN PET CLINIC,ANALYSTS,1,1,100277,100277,DENIED,0
AMI NEWCO LLC,ANALYSTS,1,1,47341,40000,DENIED,7341
ARUN SHAH and ASSOCIATES,COACHES AND SCOUTS,1,1,76793.6,65000,DENIED,11793.6
BLUE PRINT INFORMATION STRATEGIES LLC,COMPUTER OCCUPATION,1,0,52915,62400,DENIED,9485
CAPGEMINI AMERICA INC,COMPUTER OCCUPATION,3,1,42869,66100,DENIED,23231
CARING ANGELS INC,COMPUTER OCCUPATION,5,0,58198.4,58198.4,DENIED,0
CARING ANGELS INC,COMPUTER OCCUPATION,4,0,56492.8,56492.8,DENIED,0
CARING ANGELS INC,COMPUTER OCCUPATION,2,1,56492.8,56492.8,DENIED,0
CARING ANGELS INC,COMPUTER OCCUPATION,2,1,58198.4,58198.4,DENIED,0
CORNWELL ENGINEERING,COMPUTER OCCUPATION,1,1,58490,58490,DENIED,0
DC2NY INC,COMPUTER OCCUPATION,1,0,75899.2,75899.2,DENIED,0
GUSTUS MANAGEMENT LLC,COMPUTER OCCUPATION,1,0,99985.6,98072,DENIED,1913.6
KEVIN OPP,COMPUTER OCCUPATION,1,1,67226,67226,DENIED,0
